municipio_ibge;agencias;cod_ibge;postos
1100015;3;110001;4
1100023;6;110002;10
1100049;6;110004;10
1100056;4;110005;4
1100064;2;110006;3
1100080;1;110008;2
1100098;2;110009;2
1100106;4;110010;1
1100114;5;110011;10
1100122;8;110012;19
1100130;2;110013;5
1100148;1;110014;2
1100155;3;110015;8
1100189;4;110018;3
1100205;27;110020;30
1100254;2;110025;4
1100288;6;110028;3
1100304;7;110030;9
1100320;3;110032;4
1100338;2;110033;6
1100346;1;110034;3
1100403;2;110040;2
1100452;4;110045;4
1100809;2;110080;3
1101203;1;110120;3
1101302;1;110130;3
1101401;2;110140;2
1101492;1;110149;3
1101708;1;110170;4
1200013;1;120001;3
1200054;1;120005;NA
1200104;4;120010;2
1200138;1;120013;NA
1200203;5;120020;4
1200252;1;120025;NA
1200302;2;120030;1
1200344;1;120034;NA
1200385;2;120038;NA
1200401;21;120040;10
1200450;2;120045;1
1200500;3;120050;2
1200609;3;120060;1
1200708;1;120070;NA
1200807;1;120080;NA
1300144;1;130014;1
1300300;2;130030;NA
1300409;2;130040;NA
1300508;1;130050;NA
1300607;1;130060;NA
1300631;1;130063;NA
1300706;3;130070;1
1300805;3;130080;NA
1300904;1;130090;NA
1301001;3;130100;NA
1301100;2;130110;NA
1301209;4;130120;NA
1301308;1;130130;1
1301407;2;130140;NA
1301506;1;130150;NA
1301605;1;130160;NA
1301704;4;130170;2
1301803;1;130180;NA
1301852;2;130185;NA
1301902;5;130190;2
1302306;1;130230;NA
1302405;3;130240;NA
1302504;6;130250;2
1302553;1;130255;NA
1302603;97;130260;18
1302702;3;130270;1
1302900;4;130290;NA
1303007;1;130300;NA
1303106;1;130310;NA
1303205;1;130320;NA
1303304;1;130330;NA
1303403;6;130340;1
1303502;1;130350;NA
1303536;3;130353;1
1303569;2;130356;1
1303700;1;130370;NA
1303809;2;130380;NA
1303908;2;130390;NA
1304062;3;130406;NA
1304104;1;130410;NA
1304203;5;130420;NA
1304302;1;130430;NA
1400100;17;140010;7
1400209;2;140020;NA
1400308;1;140030;1
1400472;2;140047;1
1400506;1;140050;NA
1500107;7;150010;3
1500131;1;150013;1
1500206;2;150020;1
1500305;1;150030;1
1500347;1;150034;1
1500404;4;150040;NA
1500503;3;150050;NA
1500602;8;150060;5
1500701;1;150070;NA
1500800;17;150080;4
1500859;1;150085;1
1500909;3;150090;NA
1500958;1;150095;1
1501006;1;150100;NA
1501105;1;150110;NA
1501204;2;150120;1
1501253;1;150125;NA
1501303;7;150130;3
1501402;91;150140;18
1501451;1;150145;1
1501501;4;150150;NA
1501576;2;150157;1
1501600;1;150160;NA
1501709;5;150170;1
1501725;2;150172;1
1501758;1;150175;1
1501782;2;150178;1
1501808;4;150180;NA
1501907;1;150190;1
1501956;1;150195;NA
1502004;1;150200;NA
1502103;6;150210;NA
1502152;6;150215;3
1502202;6;150220;3
1502301;4;150230;NA
1502400;11;150240;2
1502509;1;150250;NA
1502608;1;150260;NA
1502707;5;150270;2
1502756;1;150275;1
1502764;1;150276;1
1502772;2;150277;1
1502806;1;150280;NA
1502855;1;150285;NA
1502905;2;150290;NA
1502939;6;150293;2
1502954;2;150295;1
1503002;1;150300;NA
1503044;1;150304;1
1503077;2;150307;1
1503093;2;150309;2
1503101;2;150310;NA
1503200;3;150320;NA
1503309;6;150330;1
1503408;1;150340;1
1503457;2;150345;1
1503507;2;150350;NA
1503606;7;150360;5
1503705;2;150370;1
1503754;1;150375;NA
1503804;5;150380;1
1503903;4;150390;NA
1504000;1;150400;NA
1504059;4;150405;2
1504109;1;150410;NA
1504208;18;150420;10
1504307;1;150430;NA
1504406;2;150440;NA
1504422;5;150442;1
1504455;2;150445;1
1504505;1;150450;NA
1504604;1;150460;1
1504703;4;150470;1
1504752;1;150475;1
